Movie Title,Oscar Ceremony Year,Cast Involved,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay),Won_Oscars,Oscars_Won,Total_Oscars_Awarded,Percentage of Wins
12 Years a Slave,2014,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Patricia Norris, Steve McQueen, Joe Walker, Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers, Production Design: Adam Stockhausen; Set Decoration: Alice Baker, Screenplay by John Ridley",Nominated,Nominated,,Winner,,,,Winner,,Nominated,Nominated,,,,,Nominated,,,,,,,,,,Nominated,,,,,,,Winner,,True,3,23,13.04
127 Hours,2011,"James Franco, Jon Harris, A.R. Rahman, Christian Colson, Danny Boyle and John Smithson, Producers, Screenplay by Danny Boyle & Simon Beaufoy",Nominated,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,Nominated,,False,0,22,0.0
13 Hours: The Secret Soldiers of Benghazi,2017,"Gary Summers, Jeffrey J. Haboush and Mac Ruth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,False,0,23,0.0
13th,2017,"Ava DuVernay, Spencer Averick and Howard Barish",,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
1917,2020,"Roger Deakins, Sam Mendes, Naomi Donne, Tristan Versluis and Rebecca Cole, Thomas Newman, Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers, Production Design: Dennis Gassner; Set Decoration: Lee Sandales, Oliver Tarney and Rachael Tate, Mark Taylor and Stuart Wilson, Guillaume Rocheron, Greg Butler and Dominic Tuohy, Written by Sam Mendes & Krysty Wilson-Cairns",,,,,,,,Nominated,Winner,,Nominated,,,,,,,,,,,,Nominated,Nominated,,Nominated,,,,Nominated,Winner,Winner,,Nominated,True,3,24,12.5
20 Days in Mariupol,2024,"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath",,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,True,1,22,4.55
20 Feet from Stardom,2014,"Morgan Neville, Gil Friesen and Caitrin Rogers",,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
20th Century Women,2017,Written by Mike Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,False,0,23,0.0
4.1 Miles,2017,Daphne Matziaraki,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
45 Years,2016,Charlotte Rampling,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,23,0.0
5 Broken Cameras,2013,Emad Burnat and Guy Davidi,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
A Beautiful Day in the Neighborhood,2020,Tom Hanks,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,24,0.0
A Better Life,2012,Demián Bichir,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
A Cat in Paris,2012,Alain Gagnol and Jean-Loup Felicioli,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,22,0.0
A Concerto Is a Conversation,2021,Ben Proudfoot and Kris Bowers,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
A Girl in the River: The Price of Forgiveness,2016,Sharmeen Obaid-Chinoy,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,True,1,23,4.35
A House Made of Splinters,2023,Simon Lereng Wilmont and Monica Hellström,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
A Love Song for Latasha,2021,Sophia Nahli Allison and Janice Duncan,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,False,0,21,0.0
A Man Called Ove,2017,"Sweden, Eva von Bahr and Love Larson",,,,,,,,,,,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,,False,0,23,0.0
A Matter of Loaf and Death,2010,Nick Park,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,23,0.0
A Morning Stroll,2012,Grant Orchard and Sue Goffe,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,,False,0,22,0.0
