Movie Title,Oscar Ceremony Year,Actor in a Leading Role,Actor in a Supporting Role,Actress in a Leading Role,Actress in a Supporting Role,Animated Feature Film,Animated Short Film,Art Direction,Best Picture,Cinematography,Costume Design,Directing,Documentary (Feature),Documentary (Short Subject),Documentary Feature Film,Documentary Short Film,Film Editing,Foreign Language Film,International Feature Film,Irving G. Thalberg Memorial Award,Jean Hersholt Humanitarian Award,Live Action Short Film,Makeup,Makeup and Hairstyling,Music (Original Score),Music (Original Song),Production Design,Short Film (Animated),Short Film (Live Action),Sound,Sound Editing,Sound Mixing,Visual Effects,Writing (Adapted Screenplay),Writing (Original Screenplay)
12 Years a Slave,2014,Nominated,Nominated,,Winner,,,,Winner,,Nominated,Nominated,,,,,Nominated,,,,,,,,,,Nominated,,,,,,,Winner,
127 Hours,2011,Nominated,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,Nominated,,,,,,,,,Nominated,
13 Hours: The Secret Soldiers of Benghazi,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,
13th,2017,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
1917,2020,,,,,,,,Nominated,Winner,,Nominated,,,,,,,,,,,,Nominated,Nominated,,Nominated,,,,Nominated,Winner,Winner,,Nominated
20 Days in Mariupol,2024,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,
20 Feet from Stardom,2014,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,,
20th Century Women,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated
4.1 Miles,2017,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
45 Years,2016,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Broken Cameras,2013,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,
A Beautiful Day in the Neighborhood,2020,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Cat in Paris,2012,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Concerto Is a Conversation,2021,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
A Fantastic Woman,2018,,,,,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,
A Girl in the River: The Price of Forgiveness,2016,,,,,,,,,,,,,Winner,,,,,,,,,,,,,,,,,,,,,
A House Made of Splinters,2023,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,
A Love Song for Latasha,2021,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
A Man Called Ove,2017,,,,,,,,,,,,,,,,,Nominated,,,,,,Nominated,,,,,,,,,,,
A Matter of Loaf and Death,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
A Morning Stroll,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominated,,,,,,,
A Night at The Garden,2019,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,,,,,
A Prophet,2010,,,,,,,,,,,,,,,,,Nominated,,,,,,,,,,,,,,,,,
