Movie Title,Release Year
12 Years a Slave,2014
127 Hours,2011
13 Hours: The Secret Soldiers of Benghazi,2017
13th,2017
1917,2020
20 Days in Mariupol,2024
20 Feet from Stardom,2014
20th Century Women,2017
4.1 Miles,2017
45 Years,2016
5 Broken Cameras,2013
A Beautiful Day in the Neighborhood,2020
A Cat in Paris,2012
A Concerto Is a Conversation,2021
A Fantastic Woman,2018
A Girl in the River: The Price of Forgiveness,2016
A House Made of Splinters,2023
A Love Song for Latasha,2021
A Man Called Ove,2017
A Matter of Loaf and Death,2010
A Morning Stroll,2012
A Night at The Garden,2019
A Prophet,2010
A Quiet Place,2019
A Royal Affair,2013
A Separation,2012
A Serious Man,2010
A Shaun the Sheep Movie: Farmageddon,2021
A Single Life,2015
A Single Man,2010
A Sister,2020
A Star Is Born,2019
A War,2016
Abacus: Small Enough to Jail,2018
Ad Astra,2020
Adam and Dog,2013
Affairs of the Art,2022
Aftersun,2023
Ajami,2010
Ala Kachuu - Take and Run,2022
Albert Nobbs,2012
Alice in Wonderland,2011
All Is Lost,2014
All Quiet on the Western Front,2023
All That Breathes,2023
All the Beauty and the Bloodshed,2023
All the Money in the World,2018
Allied,2017
American Factory,2020
American Fiction,2024
American Hustle,2014
American Sniper,2015
Amour,2013
Amy,2016
An Education,2010
An Irish Goodbye,2023
An Ostrich Told Me the World Is Fake and I Think I Believe It,2023
Anatomy of a Fall,2024
Animal Behaviour,2019
Animal Kingdom,2011
Anna Karenina,2013
Anomalisa,2016
Anonymous,2012
Another Round,2021
Another Year,2011
Aquel No Era Yo (That Wasn't Me),2014
"Argentina, 1985",2023
Argo,2013
Arrival,2017
Asad,2013
Ascension,2022
At Eternity's Gate,2019
Attica,2022
Audible,2022
Auf der Strecke (On the Line),2009
August: Osage County,2014
Australia,2009
Avant Que De Tout Perdre (Just before Losing Everything),2014
Avatar,2010
Avatar: The Way of Water,2023
Ave Maria,2016
Avengers: Endgame,2020
Avengers: Infinity War,2019
Aya,2015
Baby Driver,2018
Babylon,2023
Bao,2019
Barbie,2024
"Bardo, False Chronicle of a Handful of Truths",2023
Barney's Version,2011
Bear Story,2016
Beasts of the Southern Wild,2013
Beauty and the Beast,2018
Before Midnight,2014
Beginners,2012
Being the Ricardos,2022
Belfast,2022
Bestia,2022
Better Days,2021
Big Hero 6,2015
Birdman or (The Unexpected Virtue of Ignorance),2015
Biutiful,2011
Black Panther,2019
Black Panther: Wakanda Forever,2023
Black Sheep,2019
Black Swan,2011
BlacKkKlansman,2019
Blade Runner 2049,2018
Blind Vaysha,2017
Blonde,2023
Blue Jasmine,2014
Blue Valentine,2011
Bobi Wine: The People's President,2024
Body Team 12,2016
Bohemian Rhapsody,2019
Bolt,2009
Bombshell,2020
Boogaloo and Graham,2015
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2021
Border,2019
Borrowed Time,2017
Boxballet,2022
Boy and the World,2016
Boyhood,2015
Brave,2013
Bridesmaids,2012
Bridge of Spies,2016
Bright Star,2010
Brooklyn,2016
Brotherhood,2020
Bullhead,2012
Burma VJ,2010
Burrow,2021
Butter Lamp (La Lampe Au Beurre De Yak),2015
Buzkashi Boys,2013
Call Me by Your Name,2018
Can You Ever Forgive Me?,2019
Capernaum,2019
Captain America: The Winter Soldier,2015
Captain Fantastic,2017
Captain Phillips,2014
Carol,2016
Cartel Land,2016
Causeway,2023
CaveDigger,2014
Changeling,2009
"Chau, beyond the Lines",2016
Chico & Rita,2012
China's Unnatural Disaster: The Tears of Sichuan Province,2010
Christopher Robin,2019
Cinderella,2016
CitizenFour,2015
Claude Lanzmann: Spectres of the Shoah,2016
Close,2023
Coco,2018
Coco before Chanel,2010
CODA,2022
Cold War,2019
Colette,2021
Collective,2021
Coming 2 America,2022
Coraline,2010
Corpus Christi,2020
Crazy Heart,2010
Creed,2016
Crip Camp,2021
Crisis Hotline: Veterans Press 1,2015
Cruella,2022
Curfew,2013
Cutie and the Boxer,2014
Cyrano,2022
Da 5 Bloods,2021
Dallas Buyers Club,2014
Darkest Hour,2018
Dawn of the Planet of the Apes,2015
Day & Night,2011
Day One,2016
Dcera (Daughter),2020
Dear Basketball,2018
Death of a Shadow (Dood van een Schaduw),2013
Deepwater Horizon,2017
Defiance,2009
DeKalb Elementary,2018
Demián Bichir,2012
Departures,2009
Despicable Me 2,2014
Detainment,2019
Dimanche/Sunday,2012
Dirty Wars,2014
District 9,2010
Django Unchained,2013
Do Not Split,2021
Doctor Strange,2017
Dogtooth,2011
Don't Look Up,2022
Doubt,2009
Drive,2012
Drive My Car,2022
Dune,2022
Dunkirk,2018
Edith+Eddie,2018
El Conde,2024
Elemental,2024
Elle,2017
Elvis,2023
Embrace of the Serpent,2016
Emma,2021
Empire of Light,2023
Encanto,2022
Encounters at the End of the World,2009
End Game,2019
Ennemis Intérieurs,2017
EO,2023
Ernest & Celestine,2014
Everything Everywhere All at Once,2023
Everything Will Be Okay (Alles Wird Gut),2016
Ex Machina,2016
Exit through the Gift Shop,2011
Extremely Loud & Incredibly Close,2012
Extremis,2017
Faces Places,2018
Facing Fear,2014
Fantastic Beasts and Where to Find Them,2017
Fantastic Mr. Fox,2010
Fauve,2019
Feast,2015
Feeling Through,2021
Fences,2017
Feral,2014
Ferdinand,2018
Finding Vivian Maier,2015
Fire at Sea,2017
Fire of Love,2023
First Man,2019
First Reformed,2019
Flee,2022
Flight,2013
Florence Foster Jenkins,2017
"Food, Inc.",2010
Footnote,2012
For Sama,2020
Ford v Ferrari,2020
Four Daughters,2024
Foxcatcher,2015
Frankenweenie,2013
Free Guy,2022
Free Solo,2019
French Roast,2010
Fresh Guacamole,2013
Frost/Nixon,2009
Frozen,2014
Frozen River,2009
Garden Party,2018
Gasland,2011
Genius Loci,2021
Get a Horse!,2014
Get Out,2018
Glass Onion: A Knives Out Mystery,2023
God Is the Bigger Elvis,2012
God of Love,2011
Godzilla Minus One,2024
Golda,2024
Gone Girl,2015
Granny O'Grimm's Sleeping Beauty,2010
Gravity,2014
Green Book,2019
Greyhound,2021
Guardians of the Galaxy,2015
Guardians of the Galaxy Vol. 2,2018
Guardians of the Galaxy Vol. 3,2024
Guillermo del Toro's Pinocchio,2023
