Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
12 Years a Slave,2013,R,08 Nov 2013,134 min,"Biography, Drama, History",Steve McQueen,"John Ridley, Solomon Northup","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender","Based on an incredible true story of one man's fight for survival and freedom. In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty personified by a malevolent slave owner, as well as unexpected kindnesses, Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist will forever alter his life.",English,"United Kingdom, United States",Won 3 Oscars. 244 wins & 337 nominations total,https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,8.1,"738,643",tt2024544,movie,31 Aug 2015,"$56,671,993",N/A,N/A,True,
127 Hours,2010,R,28 Jan 2011,94 min,"Biography, Drama",Danny Boyle,"Danny Boyle, Simon Beaufoy, Aron Ralston","James Franco, Amber Tamblyn, Kate Mara","127 Hours is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he can be rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the two hikers he met before his accident. Will they be the last two people he ever had the chance to meet?","English, Italian","United States, France, United Kingdom",Nominated for 6 Oscars. 23 wins & 150 nominations total,https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.5,"399,965",tt1542344,movie,25 Nov 2015,"$18,335,230",N/A,N/A,True,
24 - 13 Hours: The Secret Soldiers of Benghazi (2016),2016,N/A,19 Aug 2020,N/A,N/A,N/A,N/A,"Christopher Compton, Taylor Tribe, Cole Boerens",Should you watch '13 Hours: The Secret Soldiers of Benghazi from 2016? If these boxes that are checked off interest you then sit down and let the Bayhem wash over you. You like Michael Bay? Check. You like John Krasinksi's rock ha...,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMWNmYTYxNWUtZTA1Yy00N2Q3LWExNzMtNWMwYzRkYWZiMTNiXkEyXkFqcGdeQXVyMTIwODg3NTEy._V1_SX300.jpg,[],N/A,N/A,N/A,tt23862116,movie,N/A,N/A,N/A,N/A,True,
13th,2016,TV-MA,07 Oct 2016,100 min,"Documentary, Crime, History",Ava DuVernay,"Spencer Averick, Ava DuVernay","Melina Abdullah, Michelle Alexander, Cory Booker","The film begins with the idea that 25 percent of the people in the world who are incarcerated are incarcerated in the U.S. Although the U.S. has just 5% of the world's population. ""13th"" charts the explosive growth in America's prison population; in 1970, there were about 200,000 prisoners; today, the prison population is more than 2 million. The documentary touches on chattel slavery; D. W. Griffith's film ""The Birth of a Nation""; Emmett Till; the civil rights movement; the Civil Rights Act of 1964; Richard M. Nixon; and Ronald Reagan's declaration of the war on drugs and much more.",English,United States,Nominated for 1 Oscar. 32 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwMjU5NTAzOF5BMl5BanBnXkFtZTgwMjQwODQxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,8.2,"37,515",tt5895028,movie,23 May 2017,N/A,N/A,N/A,True,
1917,2019,R,10 Jan 2020,119 min,"Action, Drama, War",Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays","April 1917, the Western Front. Two British soldiers are sent to deliver an urgent message to an isolated regiment. If the message is not received in time the regiment will walk into a trap and be massacred. To get to the regiment they will need to cross through enemy territory. Time is of the essence and the journey will be fraught with danger.","English, French, German","United Kingdom, United States, India, Spain",Won 3 Oscars. 135 wins & 207 nominations total,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.2,"669,206",tt8579674,movie,25 Dec 2019,"$159,227,644",N/A,N/A,True,
20 Days in Mariupol,2023,TV-PG,21 Nov 2023,95 min,"Documentary, War",Mstyslav Chernov,Mstyslav Chernov,"Mstyslav Chernov, Evgeniy Maloletka, Liudmyla Amelkina","As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.","Russian, Ukrainian, English","United States, Ukraine",Nominated for 1 Oscar. 28 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BZWRiNWRiZjAtYWFhMS00MWE5LTk0OTQtMzIxNzc0YmVmZGEwXkEyXkFqcGdeQXVyMzAyMzE2MzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,8.5,"5,853",tt24082438,movie,N/A,N/A,N/A,N/A,True,
20 Feet from Stardom,2013,PG-13,26 Jul 2013,91 min,"Documentary, Biography, History",Morgan Neville,Morgan Neville,"Darlene Love, Merry Clayton, Lisa Fischer","The backup singer exists in a strange place in the pop music world; they are always in the shadow of the feature artists even when they are in front of them in concert while they provide a vital foundation for the music. Through interviews with veterans and concert footage, the history of these predominately African-American singers is explored through the rock era. Furthermore, special focus is given to special stand outs who endeavored to make a living in the art burdened with a low profile and more personal career frustrations, especially those who faced the very different challenge of singing in the spotlight themselves.","English, Spanish",United States,Won 1 Oscar. 22 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxNDY2NjMwNF5BMl5BanBnXkFtZTcwNzExMDg0OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.4,"13,926",tt2396566,movie,14 Feb 2017,"$4,946,445",N/A,N/A,True,
20th Century Women,2016,R,20 Jan 2017,119 min,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig","Love, life, and the struggles of a mother bringing up a son in the late 70's. The ignorance of a free spirit against the needs of a young man trying to find his true character and beliefs. Living in a bohemian household shared with three like minded spirited people to help pay the rent, his mother tries to establish bonds that he cannot deal with. She cannot deal with his inability to talk, and enlists the help of other females in his life to share the burden of his upbringing. Slowly life unravels for them all without understanding how. In spite of their perceived struggles, they all go on to live defined lives without any serious consequences.",English,United States,Nominated for 1 Oscar. 15 wins & 82 nominations total,https://m.media-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.3,"49,217",tt4385888,movie,14 Apr 2017,"$5,664,764",N/A,N/A,True,
4.1 Miles,2016,N/A,01 Sep 2016,26 min,"Documentary, Short",Daphne Matziaraki,N/A,"DJ Express, Christos Sapounas, Giorgos Tsagarellis",A coast guard captain on a small Greek island is suddenly charged with saving thousands of refugees from drowning at sea.,"Greek, English, Arabic, Dari",United States,Nominated for 1 Oscar. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMDI4NTE4ZTktYWIwMy00NDM0LWI4NTQtNmRiYmI0NTUyNGRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc0ODQ5MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,969,tt6279726,movie,22 Dec 2017,N/A,N/A,N/A,True,
45 Years,2015,R,28 Aug 2015,95 min,"Drama, Romance",Andrew Haigh,"Andrew Haigh, David Constantine","Charlotte Rampling, Tom Courtenay, Geraldine James","Kate (Charlotte Rampling) and Geoff Mercer (Sir Tom Courtenay) are planning to celebrate their 45th wedding anniversary with dozens of friends. The event is to take place soon in the community hall of Norwich, the town near which they live. A week before the party, Geoff receives a letter which, although he tries to hide it, obviously troubles him. When his wife asks him what is going on, Geoff tells her that the body of Katya, his first great love who disappeared fifty years before in the Alps, has just been found in a melting glacier. From then on, Geoff starts behaving more and more strangely and for the first time after so many years Kate asks herself who the man she married so long ago really is.",English,United Kingdom,Nominated for 1 Oscar. 21 wins & 62 nominations total,https://m.media-amazon.com/images/M/MV5BMTgxMTQ4NzMyN15BMl5BanBnXkFtZTgwODA0MTgyNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,7.1,"35,068",tt3544082,movie,14 Jun 2016,"$4,247,285",N/A,N/A,True,
